"Timestamp";"TI";"RHI";"DEWI";"T1";"RH1";"DEW1";"T2";"RH2";"DEW2";"T3";"RH3";"DEW3";"T4";"RH4";"DEW4";"T5";"RH5";"DEW5";"T6";"RH6";"DEW6";"T7";"RH7";"DEW7";"T8";"RH8";"DEW8"
2017-09-25 12:00:00;"21.7";"57";"12.8";"15.8";"81";"12.6";"15.5";"84";"12.8";"17.4";"85";"14.9";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-25 18:00:00;"22.0";"57";"13.1";"19.0";"73";"14.1";"19.1";"74";"14.4";"21.1";"74";"16.3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-26 00:00:00;"21.8";"57";"12.9";"14.2";"75";"9.9";"13.1";"79";"9.6";"15.0";"77";"11.0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-26 06:00:00;"20.7";"57";"11.9";"11.8";"78";"8.1";"11.2";"82";"8.3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-26 12:00:00;"21.3";"57";"12.5";"14.6";"84";"11.9";"14.6";"86";"12.3";"16.0";"85";"13.5";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-26 18:00:00;"21.6";"57";"12.7";"18.4";"74";"13.7";"18.2";"76";"13.9";"20.0";"76";"15.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-27 00:00:00;"21.5";"58";"12.9";"14.8";"77";"10.8";"14.5";"79";"10.9";"15.8";"76";"11.6";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-27 06:00:00;"21.1";"57";"12.3";"13.4";"81";"10.2";"13.3";"83";"10.5";"14.2";"80";"10.8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-27 12:00:00;"21.7";"56";"12.6";"16.0";"80";"12.6";"15.8";"83";"12.9";"17.4";"81";"14.1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-09-27 18:00:00;"22.4";"56";"13.2";"19.5";"69";"13.7";"19.5";"70";"13.9";"21.6";"72";"16.4";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
